;Kalimat;Sesuai;aspek_Budaya Green;aspek_Keselarasan Strategi;aspek_Metode;aspek_Pegawai;aspek_Tata Kelola;aspek_Teknologi Informasi;aspek_Transisi Energi;sentimen_negatif;sentimen_positif
739;Saya melibatkan karyawan dalam membuat target-target terkait Green untuk mendorong pemahaman dan kesadaran mereka terkait pentingnya Green;;1;0;0;0;0;0;0;0;1
740;Saya ikutserta memajukan strategi green perusahaan dengan memberikan opini;;0;0;0;1;0;0;0;0;1
741;Saya pikir PLN terlalu jor-joran dalam membuat proyek green.;;0;0;1;0;0;0;0;1;0
742;Keterbatasan unit induk dalam mengembangkan bahan bakar alternatif masih terkendala oleh anggaran.;1;0;0;0;0;1;0;0;1;0
743;PLN melakukan pengelolaan risiko terhadap pengembangan pembangkit green.;;0;1;0;0;0;0;0;0;1
744;Saya bisa menambah skill saya terkait perilaku ramah lingkungan;;0;0;0;1;0;0;0;0;1
745;Aspirasi green sudah diaplikasikan ke dalam strategi perusahaan.;1;0;1;0;0;0;0;0;0;1
746;Saya tahu bahwa PLTS ada yang On Grid dan Off Grid;;0;0;0;0;0;0;1;0;1
747;Saya mengarahkan penanaman jenis tanaman perdu yang dapat menyerap debu dalam jumlah yang tinggi;;1;0;0;0;0;0;0;0;1
748;Saya membiasakan diri untuk mengurangi penggunaan AC di ruangan;;1;0;0;0;0;0;0;0;1
749;Belum semua divisi dapat menerapkan strategi green PLN secara efektif.;;0;1;0;0;0;0;0;1;0
750;Upaya meningkatkan efisiensi PLTU belum dilakukan secara efektif.;;0;1;0;0;0;0;0;1;0
751;Saya mengarahkan penggunaan cahaya alami di sekitar lingkungan kantor;;1;0;0;0;0;0;0;0;1
752;Saya hanya mengikuti perintah atasan untuk menggunakan aplikasi yang sudah ada dalam melihat progres green.;;0;0;0;0;0;1;0;1;0
753;PLN membuat flyer mengenai target bauran energi di 2060 dan dipasang pada setiap kantor PLN.;;0;0;1;0;0;0;0;0;1
754;Saya menginisiasi program daur ulang sampah di lingkungan kantor ;;1;0;0;0;0;0;0;0;1
755;Tidak semua unit dilibatkan dalam kegiatan ramah lingkungan di perusahaan.;;0;1;0;0;0;0;0;1;0
756;PLN akan menghentikan pembangkit listrik tenaga uap (PLTU) berbahan bakar batu bara secara bertahap mulai 2030 hingga 2050;;0;0;0;0;0;0;1;0;1
757;PLN membuat program carbon credit yang tersertifikasi secara global.;;0;0;1;0;0;0;0;0;1
758;Saya mampu menggunakan aplikasi terkait green.;;0;0;0;0;0;1;0;0;1
759;Dalam perencanaan pembangunan pembangkit EBT, dokumen amdal harus disiapkan terlebih dahulu.;;0;0;1;0;0;0;0;0;1
760;Kegiatan ramah lingkungan yang dilakukan PLN sudah selaras dengan upaya penanganan krisis lingkungan.;1;0;1;0;0;0;0;0;0;1
761;Saya mendorong unit untuk menerapkan manajemen lingkungan untuk mendukung strategi green PLN.;1;0;1;0;0;0;0;0;0;1
762;Saya menghabiskan makanan tanpa sisa untuk mengurangi jumlah sampah di lingkungan;;1;0;0;0;0;0;0;0;1
763;Saya berkoordinasi dengan perencanaan sistem untuk pembangkit berbahan bakar dari sumber energi baru.;1;0;0;0;0;1;0;0;0;1
764;Unit induk belum konsisten menurunkan target pencapaian net zero emission ke dalam rencana kerja unit-unit di bawahnya.;1;0;0;0;0;1;0;0;1;0
765;Transisi energi diperlukan untuk kepentingan masyarakat.;;0;0;1;0;0;0;0;0;1
766;Energi panas bumi itu energi yang bersumer dari perut bumi;;0;0;0;0;0;0;1;0;1
767;Saya diberi kesempatan oleh perusahaan untuk meningkatkan kompetensi terkait dengan keberlanjutan ekonomi;;0;0;0;1;0;0;0;0;1
768;Atasan memastikan penyiraman tempat penimbunan batubara dengan air.;;1;0;0;0;0;0;0;0;1
769;Energi mekanik yang berasal dari putaran poros turbin akan diubah menjadi energi listrik oleh sebuah generator.;;0;0;0;0;0;0;1;0;1
770;Saya memvalidasi hasil analisa rencana pemanfaatan energi baru di PLN.;0;0;0;0;0;1;0;0;0;1
771;Belum semua karyawan mendukung PLN menjalankan regulasi pemerintah terkait green.;;0;0;0;0;1;0;0;1;0
772;Kini PLTP Kamojang telah memiliki tiga unit pembangkit dengan total kapasitas sebesar 140 MW.;;0;0;0;0;0;0;1;0;1
773;Ketersediaan air sangat penting dalam mendukung operasional PLTP.;;0;0;0;0;0;0;1;0;1
774;Saya memperoleh pelatihan terkait implementasi proses bisnis ramah lingkungan di Perusahaan;;1;0;0;0;0;0;0;0;1
775;Saya selalu mendapat informasi terkini tentang isu lingkungan;;0;0;0;1;0;0;0;0;1
776;Industri/konsumen bisa mendapatkan Sertifikat Energi Terbarukan sebagai bentuk dukungan terhadap program pengurangan emisi.;1;0;0;0;0;0;0;1;0;1
777;Saya secara mandiri belajar mengenai EBT karena tuntutan pekerjaan saya;;1;0;0;0;0;0;0;0;1
778;Saya bisa mengoperasikan berbagai aplikasi yang tersedia untuk menunjang pekerjaan terkait green.;;0;0;0;0;0;1;0;0;1
779;Dengan pengolahan data yang tepat maka masalah terkait green dapat diselesaikan.;;0;0;0;0;0;1;0;0;1
780;Saya terbuka dengan energi-energi baru yang lebih ramah lingkungan;;1;0;0;0;0;0;0;0;1
781;Program pembangunan PLTS 4,7 GW, dan pembangkit listrik tenaga bayu (PLTB) 0,6 GW;;0;0;0;0;0;0;1;0;1
782;Pembangkit PLTS sejalan dengan aspek transformasi PLN yaitu Green Energy;1;0;0;0;0;0;0;1;0;1
783;Target pencapaian terkait EBT untuk PLN sudah tertuang dalam RUPTL.;1;0;0;0;0;1;0;0;0;1
784;Strategi Green adalah upaya PLN mendukung komitmen Pemerintah untuk mencapai Net Zero Emission di tahun 2060;;0;1;0;0;0;0;0;0;1
785;Saya membuang sampah kering di tempat sampah kering;;1;0;0;0;0;0;0;0;1
786;Saya menjelaskan pada bawahan terkait dampak-dampak pencemaran lingkungan;;1;0;0;0;0;0;0;0;1
787;Saya berharap industri lebih aware dengan isu pemanasan global dan beralih pada energi yang ramah lingkungan;;0;0;1;0;0;0;0;0;1
788;Saya tidak yakin PLN mampu mencapai 23% bauran EBT di tahun 2025.;;0;1;0;0;0;0;0;1;0
789;Saya mendapatkan pelatihan sebelum ditempatkan untuk mengelola pekerjaan terkait PLTP;;0;0;0;0;0;0;1;0;1
790;Kami banyak mendapatkan sosialisasi terkait EBT dan Green;;0;0;0;0;0;0;1;0;1
791;Saya mengajak rekan/bawahan untuk menggunakan sedotan stainless di kantor;;1;0;0;0;0;0;0;0;1
792;Saya menegur karyawan yang membuang sampah tidak pada tempatnya;;1;0;0;0;0;0;0;0;1
793;Saya mendesain jadwal implementasi pengembangan pembangkit EBT di PLN.;1;0;0;0;0;1;0;0;0;1
794;Teknologi turbin angin (wind turbine) merupakan teknologi yang ramah lingkungan, bersih, bebas polusi, memiliki cost operasional yang murah, meski di awal investasi terkesan agak mahal;;0;0;0;0;0;0;1;0;1
795;Pelaksanaan pajak karbon merupakan pilot project PLN untuk mendukung implementasi strategi green.;1;0;0;0;0;1;0;0;0;1
796;Menurut saya, sistem IT diperlukan untuk mengukur sejauh mana strategi green telah dilaksanakan.;;0;0;0;0;0;1;0;0;1
797;Salah satu strategi untuk mengubah PLTU menjadi green adalah dengan menggunakan CCUS (Carbon Capture Utilization Storage);1;0;1;0;0;0;0;0;0;1
798;Menurut saya, terdapat beragam akses yang tersedia bagi kami untuk belajar tentang strategi green;;0;0;0;1;0;0;0;0;1
799;Pengembangan energi listrik panas bumi PLN penting dilakukan untuk menyokong transformasi energi.;1;0;1;0;0;0;0;0;0;1
800;Operasional divisi belum konsisten menjalankan regulasi nasional dari sisi lingkungan hidup;1;0;1;0;0;0;0;0;1;0
801;Peraturan pemerintah mengenai transisi energi terbarukan mendorong PLN untuk berpartisipasi dalam program EBT.;1;0;1;0;0;0;0;0;0;1
802;Mengubah bahan bakar fosil dengan biomass belum efektif untuk mengurangi investasi pembangkit EBT.;;0;1;0;0;0;0;0;1;0
803;PLN membangun SPKLU di beberapa daerah untuk mendukung terciptanya ekosistem kendaraan listrik yang dapat mendukung zero carbon;;0;1;0;0;0;0;0;0;1
804;Saya berdiskusi terkait energi terbarukan yang ramah lingkungan bersama rekan di kantor;;1;0;0;0;0;0;0;0;1
805;Saya mengajak rekan-rekan yang lain untuk melakukan carbon offset ;;1;0;0;0;0;0;0;0;1
806;Perusahaan memberikan ruang bagi saya untuk memahami lebih banyak tentang isu ramah lingkungan;;0;0;0;1;0;0;0;0;1
807;Grid Inverter bekerja berdasarkan tegangan referensi dari jaringan listrik/PLN;;0;0;0;0;0;0;1;0;1
808;PLN membutuhkan partnership dari seluruh stakeholder untuk mendukung tercapainya transformasi green.;;0;0;1;0;0;0;0;0;1
809;Perdagangan karbon berasal dari komitmen dunia dalam menangani pemanasan global;;0;0;0;0;0;0;1;0;1
810;Mudah bagi saya untuk mengakses informasi terkait hydroenergy;1;0;0;0;0;0;0;1;0;1
811;Atasan saya selalu mengingatkan saya untuk selalu menjaga lingkungan hidup di sekitar kantor;;1;0;0;0;0;0;0;0;1
812;Saya mendukung PLN menerapkan prosedur bisnis yang berkelanjutan.;1;0;0;0;0;1;0;0;0;1
813;Saya berbagi pengetahuan terkait perilaku ramah lingkungan;;1;0;0;0;0;0;0;0;1
814;Atasan saya memastikan material sisa konstruksi dibersihkan sesuai aturan yang berlaku;;1;0;0;0;0;0;0;0;1
815;KPI EBT telah diturunkan hingga level unit induk.;1;0;0;0;0;1;0;0;0;1
816;PLN sedang merencanakan pembangunan pembangkit tenaga nuklir;;0;0;0;0;0;0;1;0;1
817;Saya paham mengenai alur kerja untuk mencapai strategi green.;;0;0;1;0;0;0;0;0;1
818;Melakukan kegiatan ramah lingkungan adalah tanggung jawab saya sebagai bagian dari PLN.;1;0;0;0;0;1;0;0;0;1
819;Melalui perdagangan karbon, pemerintah dapat memantau jumlah emisi karbon yang dihasilkan di negaranya dengan lebih terorganisasi;;0;0;0;0;0;0;1;0;1
820;Penting bagi PLN untuk tidak hanya berfokus pada pembangkit ramah lingkungan, tapi juga kantor dan perilaku ramah lingkungan untuk mendukung zero emission pemerintah;;1;0;0;0;0;0;0;0;1
821;Saya tidak lagi membuang sampah di selokan;;1;0;0;0;0;0;0;0;1
822;Saya aktif mengajukan ide tentang keberlanjutan sosial dalam isu strategi green;;0;0;0;1;0;0;0;0;1
823;Saya terlibat dalam penyusunan anggaran biaya pengembangan pembangkit energi terbarukan PLN.;1;0;0;0;0;1;0;0;0;1
824;PLTS memakai baterai jenis Lithium.;1;0;0;0;0;0;0;1;0;1
825;Atasan mengingatkan saya untuk mengingatkan para kontraktor menjaga lingkungan di sekitar konstruksi;;1;0;0;0;0;0;0;0;1
826;Aspirasi green telah menjadi bagian dari setiap proses kerja di PLN.;1;0;0;0;0;1;0;0;0;1
827;Saya perlu membiasakan diri untuk menggunakan aplikasi berbasis teknologi informasi untuk mempermudah pekerjaan terkait green.;;0;0;0;0;0;1;0;0;1
828;Saya mengarahkan penyediaan khusus sampah kertas/paper bin di dekat mesin fotokopi atau printer;;1;0;0;0;0;0;0;0;1
829;PLN mengirimkan karyawannya untuk mempelajari perdagangan karbon di luar negeri;1;0;0;0;0;0;0;1;0;1
830;Untuk membangkitkan listrik dengan panas Bumi dilakukan dengan mengebor tanah di daerah yang memiliki potensi panas Bumi;;0;0;0;0;0;0;1;0;1
831;Kemampuan saya dalam bertindak ramah lingkungan perlu ditingkatkan;;0;0;0;1;0;0;0;0;1
832;Saya paham bagaimana perusahaan akan merealisasikan strategi green;;0;0;1;0;0;0;0;0;1
833;Saya banyak menggali informasi terkait ide-ide implementasi EBT di luar negeri yang dapat digunakan disini;;1;0;0;0;0;0;0;0;1
834;Salah satu inisiatif PLN dalam transformasi green adalah membangun EBT dalam skala besar.;;0;0;1;0;0;0;0;0;1
835;PLN mengampanyekan electrifying lifestyle untuk mengajak masyarakat beralih ke peralatan berbasis listrik.;1;0;0;0;0;0;0;1;0;1
836;Energi yang tadinya harus import menjadi energi domestik.;;0;0;1;0;0;0;0;0;1
837;Atasan memastikan Perawatan mesin pembangkit secara berkala sehingga emisi dapat ditekan sekecil mungkin;;1;0;0;0;0;0;0;0;1
838;Divisi saya memebuat kebijakan-kebijakan terkait emisi karbon.;;0;0;1;0;0;0;0;0;1
839;Saya mengetahui bahwa di tahun 2025 PLN harus mencapai 23% EBT untuk transformasi green.;1;0;1;0;0;0;0;0;0;1
840;Saya rasa webinar mengenai transformasi green itu efektif dalam rangka distribusi informasi kepada seluruh pegawai PLN.;;0;0;1;0;0;0;0;0;1
841;Aku sering memberi opini tentang keberlanjutan lingkungan dalam strategi green;;0;0;0;1;0;0;0;0;1
842;Perusahaan memiliki peraturan yang menjadi pedoman melakukan tindak ramah lingkungan;;0;0;0;0;1;0;0;0;1
843;Saya memastikan operasional unit sesuai dengan regulasi dari sisi lingkungan hidup.;1;0;1;0;0;0;0;0;0;1
844;Saya mengenal aturan perusahaan yang mengarahkan karyawan menerapkan budaya ramah lingkungan;;1;0;0;0;0;0;0;0;1
845;Saya merasa senang mendapat kesempatan untuk meningkatkan skill untuk berperilaku ramah lingkungan;;0;0;0;1;0;0;0;0;1
846;Saya merasa senang jika ada kegiatan bersama pihak lain untuk mengimplementasikan pengelolaan berkelanjutan;;0;0;0;1;0;0;0;0;1
847;Penerapan strategi green PLN semata dilakukan untuk memenuhi tuntutan stakeholder.;;0;1;0;0;0;0;0;1;0
848;Saya selalu update inovasi-inovasi terbaru yang bisa menekan emisi karbon di lingkungan;;1;0;0;0;0;0;0;0;1
849;Target penambahan kapasitas PLTP sebesar 3.355 Mega Watt (MW) sesuai dengan Green RUPTL PT. PLN (Persero) tahun 2021-2030. ;1;0;0;0;0;0;0;1;0;1
850;Atasan memastikan kelancara saluran drainase;;1;0;0;0;0;0;0;0;1
851;Terdapat KPI terkait green di masing-masing divisi di PLN.;0;0;0;0;0;1;0;0;0;1
852;Saya gak lagi menggunakan dus kotak makanan untuk memberikan makanan bagi tamu atau karyawan;;1;0;0;0;0;0;0;0;1
853;Pembangkit EBT yang sedang digarap PLN adalah Pembangkit Listrik Tenaga Panas;1;0;0;0;0;0;0;1;0;1
854;PLN melakukan implementasi co-firing.;;0;0;1;0;0;0;0;0;1
855;Saya dijelaskan terkait dampak-dampak permasalahan lingkungan;;1;0;0;0;0;0;0;0;1
856;PLN selalu menjaga dan mengikuti undang-undang terkait lingkungan hidup dalam menjalankan bisnisnya;;1;0;0;0;0;0;0;0;1
857;PLN punya rencana untuk melakukan transisi energi melalui EBT.;1;0;0;0;0;0;0;1;0;1
858;Info tentang wind energy ada yang dalam bentuk video.;1;0;0;0;0;0;0;1;0;1
859;PLN belum konsisten mendukung penggunaan produk PLTS atap bagi pelanggan.;;0;1;0;0;0;0;0;1;0
860;Aksi ramah lingkungan belum sepenuhnya menjadi bagian dalam strategi bisnis PLN.;;0;1;0;0;0;0;0;1;0
861;Penyusunan rencana kerja pengembangan pembangkit EBT di PLN bukan tugas saya.;1;0;0;0;0;1;0;0;1;0
862;Mempensiunkan PLTU adalah cara terbaik melakukan strategi green.;0;0;1;0;0;0;0;0;0;1
863;Saya paham bahwa goals dari strategi green perusahaan adalah tercapainya 23% EBT di tahun 2025.;1;0;1;0;0;0;0;0;0;1
864;Penyediaan PLTS beserta baterai merupakan strategi green PLN.;1;0;1;0;0;0;0;0;0;1
865;Menurut saya, pemanfaatan IT terkait green belum optimal.;;0;0;0;0;0;1;0;1;0
866;Aksi ramah lingkungan menjadi bagian dalam strategi bisnis PLN.;1;0;1;0;0;0;0;0;0;1
867;Saya senang dilibatkan dalam proyek yang menunjang strategi green;;0;0;0;1;0;0;0;0;1
868;Informasi tentang transisi energi secara general ada yang available dalam bentuk video.;1;0;0;0;0;0;0;1;0;1
869;Sekarang aktivitas surat-menyurat sudah berbasis aplikasi sehingga lebih ramah lingkungan.;;0;0;0;0;0;1;0;0;1
870;Karyawan itu tidak mengetahui proses green yang akan dilaksanakan di pln;;0;0;0;1;0;0;0;1;0
871;Melakukan perubahan PLTU menjadi ;1;0;1;0;0;0;0;0;0;1
872;PLN memiliki pembangkit listrik tenaga sampah (PLTSA).;;0;0;1;0;0;0;0;0;1
873;Saya bertanggung jawab berperilaku berkelanjutan;;0;0;0;0;1;0;0;0;1
874;Unit kerja saya menerapkan manajemen lingkungan untuk mendukung pilar green PLN.;1;0;1;0;0;0;0;0;0;1
875;Masing-masing unit sudah menerapkan manajemen lingkungan untuk mendukung pilar green PLN.;;0;1;0;0;0;0;0;0;1
876;Salah satu cara meningkatkan kesadaran karyawan PLN mengenai green adalah dengan memberlakukan carbon tax kepada masing-masing unit induk.;1;0;0;0;0;1;0;0;0;1
877;Saya mendukung PLN untuk terus melakukan inovasi terkait transformasi green.;;0;0;1;0;0;0;0;0;1
878;Saya diberi tanggung jawab untuk menerpakan bisnis green PLN di lingkup unit;1;0;0;0;0;1;0;0;0;1
879;Strategi green sudah diimplementasikan ke dalam visi dan misi perusahaan.;1;0;1;0;0;0;0;0;0;1
880;Kami melakukan analisis finansial dalam perencanaan pembangunan pembangkit EBT.;;0;0;1;0;0;0;0;0;1
881;Saya memahami PLN harus mengikuti persyaratan lingkungan yang sesuai dengan standar internasional.;1;0;1;0;0;0;0;0;0;1
882;PLN melakukan sinergi BUMN terkait pembangunan EBT;;0;1;0;0;0;0;0;0;1
883;Terdapat teknologi baru untuk baterai PLTS seperti vanadium redox flow battery ;1;0;0;0;0;0;0;1;0;1
884;Saya cuma mengikuti langkah kerja yang diperintahkan atasan dalam pencapaian green.;;0;0;1;0;0;0;0;1;0
885;Informasi mengenai green mudah saya dapatkan.;;0;0;0;0;0;1;0;0;1
886;Jenis Sel Surya PLTS PV adalah Polycrystalline or Multi-crystalline Silicon;;0;0;0;0;0;0;1;0;1
887;PLN membangun charging station untuk mengisi bahan bakar mobil dan motor listrik.;;0;0;1;0;0;0;0;0;1
888;Saya akan mempelajari aplikasi berbasis teknologi informasi untuk menunjang pelaksanaan strategi green.;;0;0;0;0;0;1;0;0;1
889;Setiap karyawan menjalankan aktivitas bisnis PLN yang berkelanjutan.;1;0;0;0;0;1;0;0;0;1
890;PLN optimis produksi penambahan biomassa sebagai bahan bakar pengganti batu bara di 52 PLTU dapat mencapai 10.601 GWh pada 2025.;;0;0;1;0;0;0;0;0;1
891;Pengelolaan database proyek-proyek EBT di PLN dilakukan secara terpusat.;1;0;0;0;0;1;0;0;0;1
892;Uji coba co-firing dilakukan dengan menggunakan biomassa kaliandra.;1;0;0;0;0;0;0;1;0;1
893;Aktivitas green belum dilakukan oleh setiap divisi di PLN.;1;0;1;0;0;0;0;0;1;0
894;Saya mencari informasi terkait bioenergy;;1;0;0;0;0;0;0;0;1
895;Saya perlu mengasah kemampuan saya untuk memahami konsep pengelolaan keberlanjutan;;0;0;0;1;0;0;0;0;1
896;Terdapat banyak webinar gratis terkait dengan PLTS;;0;0;0;0;0;0;1;0;1
897;Saya menerapkan pengelolaan limbah FABA sesuai dengan peraturan pemerintah;;1;0;0;0;0;0;0;0;1
898;Saya belum memahami adanya tuntutan stakeholder yang mendorong PLN melakukan strategi green.;1;0;1;0;0;0;0;0;1;0
899;Saya dilibatkan dalam menyusun peraturan EBT yang bersifat operasional di PLN.;1;0;0;0;0;1;0;0;0;1
900;Partisipasi PLN dalam program green tidak hanya untuk memenuhi tuntutan pelanggan.;;0;1;0;0;0;0;0;1;0
901;Saya terlibat dalam uji coba co-firing biomassa kaliandra;1;0;0;0;0;0;0;1;0;1
902;Pecapaian target green PLN dapat dilakukan melalui pencapaian target KPI di masing-masing unit.;1;0;0;0;0;1;0;0;0;1
903;Mengakses informasi tentang solar photovoltaics di PLN itu tidak mudah.;;0;0;0;0;0;0;1;1;0
904;Saya pikir PLN terlalu berani dalam membuat program green.;;0;0;1;0;0;0;0;1;0
905;Kegiatan operasi di PLN sudah memenuhi peraturan lingkungan.;;0;1;0;0;0;0;0;0;1
906;Berbagai kajian telah dilakukan oleh PLN terhadap berbagai strategi green yang akan dikembangkan.;1;0;1;0;0;0;0;0;0;1
907;Proses perijinan untuk pembangunan pembangkit EBT dilakukan oleh Unit Induk Pembangunan di wilayah terkait.;0;0;0;0;0;1;0;0;0;1
908;PLN menjaga keberlanjutan lingkungan untuk menjaga keberlanjutan perusahaan.;;0;1;0;0;0;0;0;0;1
909;Saya baru mengetahui adanya aktivitas carbon trading yang dilakukan PLN untuk mendukung pengendalian perubahan iklim.;1;0;0;0;0;1;0;0;1;0
910;ESG merupakan bagian dari KPI PLN kepada shareholder Pemerintah dan Kementrian BUMN dan tanggung jawab kita kepada negara;;1;0;0;0;0;0;0;0;1
911;Satu unit kredit karbon setara dengan penurunan emisi 1 ton karbon dioksida (CO2);;0;0;0;0;0;0;1;0;1
912;Atasan memberitahukan bahwa perusahaan memiliki standar prosedur untuk bisnis berkelanjutan;;0;0;0;0;1;0;0;0;1
913;PLN melakukan co-firing PLTU.;;0;0;1;0;0;0;0;0;1
914;Atasan membuat aturan-aturan yang mendorong terpeliharanya budaya ramah lingkungan di kantor;;1;0;0;0;0;0;0;0;1
915;Saya terlibat dalam pengendalian kontrak proyek EBT.;1;0;0;0;0;1;0;0;0;1
916;Saya tahu program penanaman pohon yang dilakukan PLN memiliki kontribusi pada serapan gas emisi rumah kaca.;1;0;0;0;0;1;0;0;0;1
917;Menjadikan pembangkit sebagai subholding merupakan strategi investasi EBT PLN.;;0;1;0;0;0;0;0;0;1
918;Saya tidak ambil bagian dalam pembangunan pembangkit listrik EBT.;1;0;0;0;0;1;0;0;1;0
919;Saya memastikan penyiraman tapak proyek secara teratur, sehingga debu batu bara tidak menyebar terbawa angin;;1;0;0;0;0;0;0;0;1
920;PLTS Generator Uap Langsung/Solar Thermal Direct Steam Generatora termasuk ke dalam jenis PLTS termal. ;1;0;0;0;0;0;0;1;0;1
921;Banyak peluang bagi PLN untuk mengembangkan EBT kurang didukung oleh ketersediaan dana yang cukup.;;0;1;0;0;0;0;0;1;0
922;Saya disuruh buat ikut webinar wind energy;;0;0;0;0;0;0;1;0;1
923;Green merupakan bentuk komitmen PLN mendukung program Pemerintah untuk zero carbon 2060;;0;1;0;0;0;0;0;0;1
924;PLN menghargai unit kerja yang berupaya menerapkan strategi green dalam aktivitas kerja.;;0;1;0;0;0;0;0;0;1
925;Saya mendapatkan pelatihan terkait wave energy conversion;1;0;0;0;0;0;0;1;0;1
926;PLN mendorong semangat karyawan untuk terlibat dalam penerapan strategi green.;;0;1;0;0;0;0;0;0;1
927;PLN menyelenggarakan lelang konversi PLTD ke PLTS dan Baterai.;1;0;0;0;0;0;0;1;0;1
928;PLN berkoordinasi dengan stakeholder dalam menerapkan prosedur green.;1;0;0;0;0;1;0;0;0;1
929;Saya menyusun dokumen Terms of Reference sebagai dasar proses pengadaan EPC EBT.;1;0;0;0;0;1;0;0;0;1
930;Butuh waktu yang cukup lama untuk bisa memahami langkah kerja green.;;0;0;1;0;0;0;0;1;0
931;Saya banyak menginformasikan terkait macam-macam energi ramah lingkungan ke rekan-rekan lainnya;;1;0;0;0;0;0;0;0;1
932;Aku bisa dengan mudah mengakses informasi mengenai biomass.;1;0;0;0;0;0;0;1;0;1
933;PLN mengadaptasi ISO 14001 mengenai Sistem Manajemen Lingkungan;;1;0;0;0;0;0;0;0;1
934;Saya mengarahkan bawahan saya untuk mempelajari berbagai macam EBT ramah lingkungan;;1;0;0;0;0;0;0;0;1
935;Saya belum mengetahui peraturan EBT yang bersifat operasional di PLN.;1;0;0;0;0;1;0;0;1;0
936;Pada PLTB, energi kinetik yang dimanfaatkan untuk memutar turbin adalah energi kinetik yang berasal dari aliran angin;;0;0;0;0;0;0;1;0;1
937;Energi terbarukan misalnya adalah energi angin;1;0;0;0;0;0;0;1;0;1
938;Pengembangan energi listrik panas bumi belum dilakukan secara optimal.;;0;1;0;0;0;0;0;1;0
939;Perusahaan memberikan informasi tentang green;;0;0;0;1;0;0;0;0;1
940;PLN mendorong inovasi produk layanan yang dapat menarik masyarakat untuk menggunakan EBT agar dapat mencapai zero emission;;1;0;0;0;0;0;0;0;1
941;Saya menanam sayuran di sekitar rumah;;1;0;0;0;0;0;0;0;1
942;Salah satu upaya dekarbonisasi itu dengan penanaman pohon di area pembangkit.;;0;0;1;0;0;0;0;0;1
943;Saya diajak untuk memisahkan sampah basah dan sampah kering;;1;0;0;0;0;0;0;0;1
944;Saya memantau pembebasan lahan dalam tahap perencanaan pembangunan pembangkit EBT.;1;0;0;0;0;1;0;0;0;1
945;Teknologi informasi mempercepat sosialisasi kampanye green.;;0;0;0;0;0;1;0;0;1
946;Saya tertarik memakaikendaraan listrik untuk mendukung strategi green PLN.;1;0;1;0;0;0;0;0;0;1
947;Saya merasa sulit untuk memanfaatkan IT dalam mendukung pencapaian transformasi green.;;0;0;0;0;0;1;0;1;0
948;Saya tidak terlibat dalam penyediaan energi alternatif untuk pembangkit EBT di PLN.;1;0;0;0;0;1;0;0;1;0
949;Saya diarahkan untuk mengikuti pelatihan soal wind energy;;0;0;0;0;0;0;1;0;1
950;PLN sudah mengaplikasikan aksi ramah lingkungan dalam visi misi perusahaan.;1;0;1;0;0;0;0;0;0;1
951;Menurut saya, energi hijau sangat penting untuk hidup berkelanjutan.;;0;0;1;0;0;0;0;0;1
952;Kami memastikan pembangkit memiliki proper yang baik karena ada tuntutan dari kementrian lingkungan.;;0;0;1;0;0;0;0;0;1
953;Salah satu tujuan dari strategi green adalah mengurangi emisi karbon.;;0;0;1;0;0;0;0;0;1
954;Saya ingin membiasakan bawahan saya untuk selalu menampilkan perilaku ramah lingkungan;;1;0;0;0;0;0;0;0;1
955;Saya memiliki tanaman yang saya pelihara di kantor;;1;0;0;0;0;0;0;0;1
956;PLN membuat produk green disesuaikan dengan target market yang akan disasar.;;0;0;1;0;0;0;0;0;1
957;Strategi green dapat dicapai dengan banyak cara;;0;0;1;0;0;0;0;0;1
958;Mensub-holdingkan pembangkit merupakan strategi investasi EBT yang dilakukan PLN.;0;0;1;0;0;0;0;0;0;1
959;PLN mendukung gagasan karyawan mengenai pengembangan energi green.;;0;1;0;0;0;0;0;0;1
960;Tahun 2022 akan ada tambahan kapasitas Pembangkit Listrik Tenaga Air (PLTA) dengan kapasitas 53 MW.;;0;0;0;0;0;0;1;0;1
961;Saya mengajak rekan-rekan menanam tanaman di lingkungan kantor;;1;0;0;0;0;0;0;0;1
962;Transformasi green harus dilakukan untuk mencapai target zero emission pada tahun 2060.;1;0;1;0;0;0;0;0;0;1
963;PLN membuat program carbon trading.;;0;0;1;0;0;0;0;0;1
964;PLN memiliki target KPI BUMN berkaitan dengan pengurangan emisi.;1;0;0;0;0;1;0;0;0;1
965;Emisi karbon dioksida dari PLTP kira-kira seperdelapan dari emisi pembangkit listrik tenaga batubara;;0;0;0;0;0;0;1;0;1
966;Saat ini PLN sedang membangun aset manajemen yang merupakan salah satu aset informasi manajemen.;;0;0;0;0;0;1;0;0;1
967;Penggunaann CCUS (Carbon Capture Utilization Storage) adalah satu strategi untuk mengubah PLTU menjadi green.;1;0;1;0;0;0;0;0;0;1
968;Mudah bagi saya untuk mengakses informasi terkait wind energy;1;0;0;0;0;0;0;1;0;1
969;Kami melakukan studi kasus di lapangan untuk mendapatkan ide pengembangan mengenai green.;;0;0;1;0;0;0;0;0;1
970;PLTP tidak terpengaruh oleh faktor cuaca seperti PLTS atau PLTB;;0;0;0;0;0;0;1;0;1
971;Saya mengenal ocean thermal energy conversion dari atasan.;1;0;0;0;0;0;0;1;0;1
972;Saya menjelaskan pada bawahan terkait perilaku industri yang berdampak terhadap permasalahan lingkungan;;1;0;0;0;0;0;0;0;1
